Date,year,period,month,value,Close,High,Low,Open,Volume
2025-04-01,2025,M04,April,159517.0,5569.06005859375,5695.31005859375,4835.0400390625,5597.52978515625,118936380000.0
2025-03-01,2025,M03,March,159340.0,5611.85009765625,5986.08984375,5488.72998046875,5968.330078125,111387270000.0
2025-02-01,2025,M02,February,159155.0,5954.5,6147.43017578125,5837.66015625,5969.64990234375,92317000000.0
2025-01-01,2025,M01,January,159053.0,6040.52978515625,6128.18017578125,5773.31005859375,5903.259765625,88639380000.0
2024-12-01,2024,M12,December,158942.0,5881.6298828125,6099.97021484375,5832.2998046875,6040.10986328125,86064900000.0
2024-11-01,2024,M11,November,158619.0,6032.3798828125,6044.169921875,5696.509765625,5723.22021484375,84101980000.0
2024-10-01,2024,M10,October,158358.0,5705.4501953125,5878.4599609375,5674.0,5757.72998046875,82412430000.0
2024-09-01,2024,M09,September,158314.0,5762.47998046875,5767.3701171875,5402.6201171875,5623.89013671875,79564830000.0
2024-08-01,2024,M08,August,158074.0,5648.39990234375,5651.6201171875,5119.259765625,5537.83984375,81097300000.0
2024-07-01,2024,M07,July,158003.0,5522.2998046875,5669.669921875,5390.9501953125,5471.080078125,80160390000.0
2024-06-01,2024,M06,June,157915.0,5460.47998046875,5523.64013671875,5234.31982421875,5297.14990234375,76025620000.0
2024-05-01,2024,M05,May,157828.0,5277.509765625,5341.8798828125,5011.0498046875,5029.02978515625,86849720000.0
2024-04-01,2024,M04,April,157635.0,5035.68994140625,5263.9501953125,4953.56005859375,5257.97021484375,81747170000.0
2024-03-01,2024,M03,March,157517.0,5254.35009765625,5264.85009765625,5056.81982421875,5098.509765625,86299510000.0
2024-02-01,2024,M02,February,157271.0,5096.27001953125,5111.06005859375,4853.52001953125,4861.10986328125,82066930000.0
2024-01-01,2024,M01,January,157049.0,4845.64990234375,4931.08984375,4682.10986328125,4745.2001953125,81737880000.0
2023-12-01,2023,M12,December,156930.0,4769.830078125,4793.2998046875,4546.5,4559.43017578125,81530670000.0
2023-11-01,2023,M11,November,156661.0,4567.7998046875,4587.64013671875,4197.740234375,4201.27001953125,80970570000.0
2023-10-01,2023,M10,October,156520.0,4193.7998046875,4393.56982421875,4103.77978515625,4284.52001953125,83519460000.0
2023-09-01,2023,M09,September,156334.0,4288.0498046875,4541.25,4238.6298828125,4530.60009765625,73482980000.0
2023-08-01,2023,M08,August,156176.0,4507.66015625,4584.6201171875,4335.31005859375,4578.830078125,86840820000.0
2023-07-01,2023,M07,July,156019.0,4588.9599609375,4607.06982421875,4385.0498046875,4450.47998046875,75063200000.0
2023-06-01,2023,M06,June,155871.0,4450.3798828125,4458.47998046875,4171.64013671875,4183.02978515625,87983140000.0
2023-05-01,2023,M05,May,155614.0,4179.830078125,4231.10009765625,4048.280029296875,4166.7900390625,85190040000.0
2023-04-01,2023,M04,April,155387.0,4169.47998046875,4170.06005859375,4049.35009765625,4102.2001953125,70861260000.0
2023-03-01,2023,M03,March,155171.0,4109.31005859375,4110.75,3808.860107421875,3963.340087890625,113094800000.0
2023-02-01,2023,M02,February,155086.0,3970.14990234375,4195.43994140625,3943.080078125,4070.070068359375,80392280000.0
2023-01-01,2023,M01,January,154780.0,4076.60009765625,4094.2099609375,3794.330078125,3853.2900390625,80763810000.0
2022-12-01,2022,M12,December,154336.0,3839.5,4100.9599609375,3764.489990234375,4087.139892578125,85249330000.0
2022-11-01,2022,M11,November,154210.0,4080.110107421875,4080.110107421875,3698.14990234375,3901.7900390625,92671910000.0
2022-10-01,2022,M10,October,153913.0,3871.97998046875,3905.419921875,3491.580078125,3609.780029296875,95823760000.0
2022-09-01,2022,M09,September,153513.0,3585.6201171875,4119.27978515625,3584.1298828125,3936.72998046875,94241020000.0
2022-08-01,2022,M08,August,153286.0,3955.0,4325.27978515625,3954.530029296875,4112.3798828125,92252350000.0
2022-07-01,2022,M07,July,153049.0,4130.2900390625,4140.14990234375,3721.56005859375,3781.0,81688320000.0
2022-06-01,2022,M06,June,152353.0,3785.3798828125,4177.509765625,3636.8701171875,4149.77978515625,106116710000.0
2022-05-01,2022,M05,May,151892.0,4132.14990234375,4307.66015625,3810.320068359375,4130.60986328125,108860390000.0
2022-04-01,2022,M04,April,151651.0,4131.93017578125,4593.4501953125,4124.27978515625,4540.31982421875,90367840000.0
2022-03-01,2022,M03,March,151346.0,4530.41015625,4637.2998046875,4157.8701171875,4363.14013671875,123546260000.0
2022-02-01,2022,M02,February,150875.0,4373.93994140625,4595.31005859375,4114.64990234375,4519.56982421875,92667710000.0
2022-01-01,2022,M01,January,150006.0,4515.5498046875,4818.6201171875,4222.6201171875,4778.14013671875,95562890000.0
2021-12-01,2021,M12,December,149781.0,4766.18017578125,4808.93017578125,4495.1201171875,4602.81982421875,92750180000.0
2021-11-01,2021,M11,November,149206.0,4567.0,4743.830078125,4560.0,4610.6201171875,88268840000.0
2021-10-01,2021,M10,October,148569.0,4605.3798828125,4608.080078125,4278.93994140625,4317.16015625,80253600000.0
2021-09-01,2021,M09,September,147712.0,4307.5400390625,4545.85009765625,4305.91015625,4528.7998046875,85528860000.0
2021-08-01,2021,M08,August,147246.0,4522.68017578125,4537.35986328125,4367.72998046875,4406.85986328125,80500760000.0
2021-07-01,2021,M07,July,146759.0,4395.259765625,4429.97021484375,4233.1298828125,4300.72998046875,84255620000.0
2021-06-01,2021,M06,June,145828.0,4297.5,4302.43017578125,4164.39990234375,4216.52001953125,102544180000.0
2021-05-01,2021,M05,May,145032.0,4204.10986328125,4238.0400390625,4056.8798828125,4191.97998046875,88321860000.0
2021-04-01,2021,M04,April,144611.0,4181.169921875,4218.77978515625,3992.780029296875,3992.780029296875,83124090000.0
2021-03-01,2021,M03,March,144246.0,3972.889892578125,3994.409912109375,3723.340087890625,3842.510009765625,122371150000.0
